Category,City,Country,Customer ID,Customer Name,Order Date,Order ID,Order ID (Returns),Person,Postal Code,Product ID,Product Name,Quantity (bin),Region,Region (People),Returned,Row ID,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Number of Records,OrderUntilShip,Profit,Profit/1 client,Quantity,ROS,Sales,Sales/1 order
Technology,Laredo,United States,MS-17830,Melanie Seite,09/01/14,CA-2014-135405,,Kelly Williams,78041,TEC-AC-10001266,Memorex Micro Travel Drive 8 GB,2,Central,Central,,594,Consumer,13/01/14,Standard Class,Texas,Accessories,0.2,1,4,9.75,9.75,3,0.3125,31.2,31.2
Furniture,Springfield,United States,AJ-10780,Anthony Jacobs,10/01/14,CA-2014-149020,,Cassandra Brandow,22153,FUR-FU-10000965,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",0,South,South,,867,Corporate,15/01/14,Standard Class,Virginia,Furnishings,0,1,5,21.2954,21.2954,1,0.41,51.94,51.94
Office Supplies,Springfield,United States,AJ-10780,Anthony Jacobs,10/01/14,CA-2014-149020,,Cassandra Brandow,22153,OFF-LA-10004272,Avery 482,0,South,South,,866,Corporate,15/01/14,Standard Class,Virginia,Labels,0,1,5,1.3583,1.3583,1,0.47,2.89,2.89
Furniture,Dover,United States,SV-20365,Seth Vernon,11/01/14,CA-2014-130092,,Chuck Magee,19901,FUR-FU-10000010,"DAX Value U-Channel Document Frames, Easel Back",2,East,East,,717,Consumer,14/01/14,First Class,Delaware,Furnishings,0,1,3,3.0814,3.0814,2,0.31,9.94,9.94
Office Supplies,Bossier City,United States,CS-12250,Chris Selesnick,13/01/14,CA-2014-162775,,Cassandra Brandow,71111,OFF-BI-10004187,3-ring staple pack,2,South,South,,767,Corporate,15/01/14,Second Class,Louisiana,Binders,0,1,2,2.7072,2.7072,3,0.48,5.64,5.64
Office Supplies,Bossier City,United States,CS-12250,Chris Selesnick,13/01/14,CA-2014-162775,,Cassandra Brandow,71111,OFF-EN-10001532,Brown Kraft Recycled Envelopes,2,South,South,,765,Corporate,15/01/14,Second Class,Louisiana,Envelopes,0,1,2,25.47,25.47,3,0.5,50.94,50.94
Office Supplies,Bossier City,United States,CS-12250,Chris Selesnick,13/01/14,CA-2014-162775,,Cassandra Brandow,71111,OFF-EN-10001990,Staple envelope,2,South,South,,764,Corporate,15/01/14,Second Class,Louisiana,Envelopes,0,1,2,5.3392,5.3392,2,0.47,11.36,11.36
Office Supplies,Bossier City,United States,CS-12250,Chris Selesnick,13/01/14,CA-2014-162775,,Cassandra Brandow,71111,OFF-ST-10000025,Fellowes Stor/Drawer Steel Plus Storage Drawers,5,South,South,,768,Corporate,15/01/14,Second Class,Louisiana,Storage,0,1,2,34.3548,34.3548,6,0.06,572.58,572.58
Technology,Bossier City,United States,CS-12250,Chris Selesnick,13/01/14,CA-2014-162775,,Cassandra Brandow,71111,TEC-AC-10003174,Plantronics S12 Corded Telephone Headset System,5,South,South,,766,Corporate,15/01/14,Second Class,Louisiana,Accessories,0,1,2,258.696,258.696,6,0.4,646.74,646.74
Furniture,Mount Pleasant,United States,ND-18370,Natalie DeCherney,13/01/14,CA-2014-109232,,Cassandra Brandow,29464,FUR-CH-10000422,Global Highback Leather Tilter in Burgundy,5,South,South,,2979,Consumer,16/01/14,Second Class,South Carolina,Chairs,0,1,3,87.3504,87.3504,6,0.16,545.94,545.94
Furniture,San Francisco,United States,BD-11605,Brian Dahlen,13/01/14,CA-2014-157147,,Anna Andreadi,94109,FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish",2,West,West,,4939,Consumer,18/01/14,Standard Class,California,Bookcases,0.15,1,5,3.9294,3.9294,3,0.011764706,333.999,333.999
Office Supplies,San Francisco,United States,BD-11605,Brian Dahlen,13/01/14,CA-2014-157147,,Anna Andreadi,94109,OFF-AR-10003514,4009 Highlighters by Sanford,4,West,West,,4940,Consumer,18/01/14,Standard Class,California,Art,0,1,5,6.567,6.567,5,0.33,19.9,19.9
Office Supplies,San Francisco,United States,BD-11605,Brian Dahlen,13/01/14,CA-2014-157147,,Anna Andreadi,94109,OFF-ST-10000078,Tennsco 6- and 18-Compartment Lockers,4,West,West,,4938,Consumer,18/01/14,Standard Class,California,Storage,0,1,5,238.653,238.653,5,0.18,"1,325.85","1,325.85"
Office Supplies,Newark,United States,MM-17920,Michael Moore,13/01/14,CA-2014-118192,,Chuck Magee,43055,OFF-BI-10003476,Avery Metallic Poly Binders,2,East,East,,9630,Consumer,18/01/14,Standard Class,Ohio,Binders,0.7,1,5,-2.5212,-2.5212,2,-0.733333333,3.438,3.438
Office Supplies,Newark,United States,MM-17920,Michael Moore,13/01/14,CA-2014-118192,,Chuck Magee,43055,OFF-PA-10002947,Xerox 1923,5,East,East,,9629,Consumer,18/01/14,Standard Class,Ohio,Paper,0.2,1,5,13.0928,13.0928,7,0.35,37.408,37.408
Furniture,Philadelphia,United States,BS-11590,Brendan Sweed,14/01/14,CA-2014-149524,,Chuck Magee,19140,FUR-BO-10003433,Sauder Cornerstone Collection Library,4,East,East,,6475,Corporate,15/01/14,First Class,Pennsylvania,Bookcases,0.5,1,1,-53.2856,-53.2856,4,-0.86,61.96,61.96
Technology,Roswell,United States,EH-13990,Erica Hackney,15/01/14,CA-2014-103366,,Cassandra Brandow,30076,TEC-AC-10003628,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,4,South,South,,1914,Consumer,17/01/14,First Class,Georgia,Accessories,0,1,2,65.978,65.978,5,0.44,149.95,149.95
Furniture,Philadelphia,United States,DL-13315,Delfina Latchford,16/01/14,CA-2014-115791,,Chuck Magee,19134,FUR-FU-10001095,DAX Black Cherry Wood-Tone Poster Frame,5,East,East,,971,Consumer,18/01/14,Second Class,Pennsylvania,Furnishings,0.2,1,2,28.5984,28.5984,6,0.225,127.104,127.104
Office Supplies,Philadelphia,United States,DL-13315,Delfina Latchford,16/01/14,CA-2014-115791,,Chuck Magee,19134,OFF-BI-10001575,GBC Linen Binding Covers,2,East,East,,973,Consumer,18/01/14,Second Class,Pennsylvania,Binders,0.7,1,2,-13.6312,-13.6312,2,-0.733333333,18.588,18.588
Office Supplies,Philadelphia,United States,DL-13315,Delfina Latchford,16/01/14,CA-2014-115791,,Chuck Magee,19134,OFF-LA-10001074,Round Specialty Laser Printer Labels,2,East,East,,974,Consumer,18/01/14,Second Class,Pennsylvania,Labels,0.2,1,2,10.1493,10.1493,3,0.3375,30.072,30.072
Technology,Philadelphia,United States,DL-13315,Delfina Latchford,16/01/14,CA-2014-115791,,Chuck Magee,19134,TEC-PH-10004614,AT&T 841000 Phone,2,East,East,,972,Consumer,18/01/14,Second Class,Pennsylvania,Phones,0.4,1,2,-31.05,-31.05,3,-0.25,124.2,124.2
Office Supplies,Springfield,United States,DW-13195,David Wiener,18/01/14,CA-2014-123477,,Anna Andreadi,97477,OFF-AP-10000692,Fellowes Mighty 8 Compact Surge Protector,4,West,West,,5365,Corporate,21/01/14,Second Class,Oregon,Appliances,0.2,1,3,6.4864,6.4864,4,0.1,64.864,64.864
Furniture,Scottsdale,United States,TS-21340,Toby Swindell,19/01/14,CA-2014-146591,,Anna Andreadi,85254,FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,4,West,West,,5466,Consumer,20/01/14,First Class,Arizona,Bookcases,0.7,1,1,-320.597,-320.597,5,-1.766666667,181.47,181.47
Office Supplies,Scottsdale,United States,TS-21340,Toby Swindell,19/01/14,CA-2014-146591,,Anna Andreadi,85254,OFF-BI-10003676,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",9,West,West,,5463,Consumer,20/01/14,First Class,Arizona,Binders,0.7,1,1,-23.716,-23.716,10,-0.733333333,32.34,32.34
Office Supplies,Scottsdale,United States,TS-21340,Toby Swindell,19/01/14,CA-2014-146591,,Anna Andreadi,85254,OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",4,West,West,,5465,Consumer,20/01/14,First Class,Arizona,Envelopes,0.2,1,1,36.693,36.693,5,0.3375,108.72,108.72
Office Supplies,Scottsdale,United States,TS-21340,Toby Swindell,19/01/14,CA-2014-146591,,Anna Andreadi,85254,OFF-PA-10000659,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",4,West,West,,5464,Consumer,20/01/14,First Class,Arizona,Paper,0.2,1,1,19.6224,19.6224,4,0.35,56.064,56.064
Furniture,Los Angeles,United States,MV-17485,Mark Van Huff,20/01/14,CA-2014-148614,CA-2014-148614,Anna Andreadi,90049,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",2,West,West,Yes,5738,Consumer,25/01/14,Standard Class,California,Furnishings,0,1,5,5.79,5.79,2,0.3,19.3,19.3
Office Supplies,Los Angeles,United States,MV-17485,Mark Van Huff,20/01/14,CA-2014-148614,CA-2014-148614,Anna Andreadi,90049,OFF-PA-10002893,"Wirebound Service Call Books, 5 1/2"" x 4""",2,West,West,Yes,5737,Consumer,25/01/14,Standard Class,California,Paper,0,1,5,9.2928,9.2928,2,0.48,19.36,19.36
Furniture,Jonesboro,United States,HL-15040,Hunter Lopez,20/01/14,US-2014-147627,,Cassandra Brandow,72401,FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,2,South,South,,1127,Consumer,26/01/14,Standard Class,Arkansas,Chairs,0,1,6,224.2674,224.2674,3,0.21,"1,067.94","1,067.94"
Furniture,Jonesboro,United States,HL-15040,Hunter Lopez,20/01/14,US-2014-147627,,Cassandra Brandow,72401,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",4,South,South,,1124,Consumer,26/01/14,Standard Class,Arkansas,Furnishings,0,1,6,11.58,11.58,4,0.3,38.6,38.6
Furniture,Westland,United States,XP-21865,Xylona Preis,20/01/14,CA-2014-167927,,Kelly Williams,48185,FUR-FU-10002918,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,2,Central,Central,,6328,Consumer,26/01/14,Standard Class,Michigan,Furnishings,0,1,6,30.0234,30.0234,3,0.11,272.94,272.94
Furniture,Westland,United States,XP-21865,Xylona Preis,20/01/14,CA-2014-167927,,Kelly Williams,48185,FUR-FU-10002268,Ultra Door Push Plate,2,Central,Central,,6333,Consumer,26/01/14,Standard Class,Michigan,Furnishings,0,1,6,4.8609,4.8609,3,0.33,14.73,14.73
Office Supplies,Jonesboro,United States,HL-15040,Hunter Lopez,20/01/14,US-2014-147627,,Cassandra Brandow,72401,OFF-AR-10003811,Newell 327,2,South,South,,1125,Consumer,26/01/14,Standard Class,Arkansas,Art,0,1,6,1.7901,1.7901,3,0.27,6.63,6.63
Office Supplies,Jonesboro,United States,HL-15040,Hunter Lopez,20/01/14,US-2014-147627,,Cassandra Brandow,72401,OFF-AR-10002375,Newell 351,5,South,South,,1123,Consumer,26/01/14,Standard Class,Arkansas,Art,0,1,6,6.6584,6.6584,7,0.29,22.96,22.96
Office Supplies,Jonesboro,United States,HL-15040,Hunter Lopez,20/01/14,US-2014-147627,,Cassandra Brandow,72401,OFF-EN-10001539,Staple envelope,2,South,South,,1126,Consumer,26/01/14,Standard Class,Arkansas,Envelopes,0,1,6,10.9698,10.9698,3,0.47,23.34,23.34
Office Supplies,Westland,United States,XP-21865,Xylona Preis,20/01/14,CA-2014-167927,,Kelly Williams,48185,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",4,Central,Central,,6330,Consumer,26/01/14,Standard Class,Michigan,Appliances,0.1,1,6,93.5816,93.5816,4,0.377777778,247.716,247.716
Office Supplies,Westland,United States,XP-21865,Xylona Preis,20/01/14,CA-2014-167927,,Kelly Williams,48185,OFF-AR-10004456,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,2,Central,Central,,6332,Consumer,26/01/14,Standard Class,Michigan,Art,0,1,6,12.7368,12.7368,3,0.29,43.92,43.92
Office Supplies,Westland,United States,XP-21865,Xylona Preis,20/01/14,CA-2014-167927,,Kelly Williams,48185,OFF-BI-10000605,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",4,Central,Central,,6329,Consumer,26/01/14,Standard Class,Michigan,Binders,0,1,6,8.9535,8.9535,5,0.47,19.05,19.05
Office Supplies,Westland,United States,XP-21865,Xylona Preis,20/01/14,CA-2014-167927,,Kelly Williams,48185,OFF-BI-10004364,Storex Dura Pro Binders,4,Central,Central,,6334,Consumer,26/01/14,Standard Class,Michigan,Binders,0,1,6,13.365,13.365,5,0.45,29.7,29.7
Office Supplies,Westland,United States,XP-21865,Xylona Preis,20/01/14,CA-2014-167927,,Kelly Williams,48185,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,0,Central,Central,,6327,Consumer,26/01/14,Standard Class,Michigan,Storage,0,1,6,4.0542,4.0542,1,0.29,13.98,13.98
Office Supplies,Westland,United States,XP-21865,Xylona Preis,20/01/14,CA-2014-167927,,Kelly Williams,48185,OFF-ST-10003123,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,2,Central,Central,,6331,Consumer,26/01/14,Standard Class,Michigan,Storage,0,1,6,15.9792,15.9792,2,0.24,66.58,66.58
Office Supplies,Smyrna,United States,MM-18280,Muhammed MacIntyre,20/01/14,US-2014-147774,,Cassandra Brandow,37167,OFF-BI-10003091,GBC DocuBind TL200 Manual Binding Machine,0,South,South,,7121,Corporate,26/01/14,Standard Class,Tennessee,Binders,0.7,1,6,-51.5154,-51.5154,1,-0.766666667,67.194,67.194
Technology,Jonesboro,United States,HL-15040,Hunter Lopez,20/01/14,US-2014-147627,,Cassandra Brandow,72401,TEC-PH-10001061,Apple iPhone 5C,5,South,South,,1122,Consumer,26/01/14,Standard Class,Arkansas,Phones,0,1,6,181.9818,181.9818,7,0.26,699.93,699.93
Furniture,Miami,United States,TB-21400,Tom Boeckenhauer,21/01/14,CA-2014-110422,,Cassandra Brandow,33180,FUR-FU-10001889,Ultra Door Pull Handle,2,South,South,,9990,Consumer,23/01/14,Second Class,Florida,Furnishings,0.2,1,2,4.1028,4.1028,3,0.1625,25.248,25.248
Office Supplies,Lafayette,United States,SG-20605,Speros Goranitis,23/01/14,CA-2014-146997,,Kelly Williams,47905,OFF-FA-10003467,"Alliance Big Bands Rubber Bands, 12/Pack",2,Central,Central,,9887,Consumer,27/01/14,Standard Class,Indiana,Fasteners,0,1,4,0,0,3,0,5.94,5.94
Office Supplies,Las Vegas,United States,IM-15055,Ionia McGrath,23/01/14,CA-2014-102645,,Anna Andreadi,89115,OFF-PA-10001804,Xerox 195,5,West,West,,9156,Consumer,28/01/14,Standard Class,Nevada,Paper,0,1,5,19.2384,19.2384,6,0.48,40.08,40.08
Furniture,Rapid City,United States,CA-11965,Carol Adams,26/01/14,CA-2014-167997,,Kelly Williams,57701,FUR-BO-10004409,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",2,Central,Central,,8151,Corporate,29/01/14,First Class,South Dakota,Bookcases,0,1,3,39.7488,39.7488,2,0.28,141.96,141.96
Office Supplies,Rapid City,United States,CA-11965,Carol Adams,26/01/14,CA-2014-167997,,Kelly Williams,57701,OFF-BI-10001758,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,2,Central,Central,,8150,Corporate,29/01/14,First Class,South Dakota,Binders,0,1,3,5.0196,5.0196,2,0.47,10.68,10.68
Furniture,Alexandria,United States,SD-20485,Shirley Daniels,26/01/14,US-2014-155502,,Cassandra Brandow,22304,FUR-FU-10001847,Eldon Image Series Black Desk Accessories,2,South,South,,2584,Home Office,31/01/14,Standard Class,Virginia,Furnishings,0,1,5,4.4712,4.4712,3,0.36,12.42,12.42
Furniture,Alexandria,United States,SD-20485,Shirley Daniels,26/01/14,US-2014-155502,,Cassandra Brandow,22304,FUR-FU-10004587,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",2,South,South,,2579,Home Office,31/01/14,Standard Class,Virginia,Furnishings,0,1,5,30.7818,30.7818,3,0.49,62.82,62.82
Office Supplies,Alexandria,United States,SD-20485,Shirley Daniels,26/01/14,US-2014-155502,,Cassandra Brandow,22304,OFF-PA-10003072,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",2,South,South,,2581,Home Office,31/01/14,Standard Class,Virginia,Paper,0,1,5,9.3312,9.3312,3,0.48,19.44,19.44
Office Supplies,Alexandria,United States,SD-20485,Shirley Daniels,26/01/14,US-2014-155502,,Cassandra Brandow,22304,OFF-PA-10000380,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",2,South,South,,2582,Home Office,31/01/14,Standard Class,Virginia,Paper,0,1,5,8.34,8.34,2,0.5,16.68,16.68
Office Supplies,Alexandria,United States,SD-20485,Shirley Daniels,26/01/14,US-2014-155502,,Cassandra Brandow,22304,OFF-ST-10004337,"SAFCO Commercial Wire Shelving, 72h",7,South,South,,2580,Home Office,31/01/14,Standard Class,Virginia,Storage,0,1,5,0,0,8,0,489.92,489.92
Technology,Alexandria,United States,SD-20485,Shirley Daniels,26/01/14,US-2014-155502,,Cassandra Brandow,22304,TEC-PH-10002103,Jabra SPEAK 410,2,South,South,,2585,Home Office,31/01/14,Standard Class,Virginia,Phones,0,1,5,52.6344,52.6344,2,0.28,187.98,187.98
Technology,Alexandria,United States,SD-20485,Shirley Daniels,26/01/14,US-2014-155502,,Cassandra Brandow,22304,TEC-PH-10004833,Macally Suction Cup Mount,12,South,South,,2583,Home Office,31/01/14,Standard Class,Virginia,Phones,0,1,5,0,0,13,0,155.35,155.35
Furniture,San Diego,United States,EJ-13720,Ed Jacobs,27/01/14,US-2014-117163,,Anna Andreadi,92037,FUR-TA-10003469,Balt Split Level Computer Training Table,2,West,West,,3796,Consumer,02/02/14,Standard Class,California,Tables,0.2,1,6,-16.65,-16.65,3,-0.05,333,333
Office Supplies,San Diego,United States,EJ-13720,Ed Jacobs,27/01/14,US-2014-117163,,Anna Andreadi,92037,OFF-AR-10003179,Dixon Ticonderoga Core-Lock Colored Pencils,4,West,West,,3797,Consumer,02/02/14,Standard Class,California,Art,0,1,6,12.0252,12.0252,4,0.33,36.44,36.44
Office Supplies,San Diego,United States,EJ-13720,Ed Jacobs,27/01/14,US-2014-117163,,Anna Andreadi,92037,OFF-ST-10003692,Recycled Steel Personal File for Hanging File Folders,0,West,West,,3795,Consumer,02/02/14,Standard Class,California,Storage,0,1,6,14.3075,14.3075,1,0.25,57.23,57.23
Office Supplies,New York City,United States,JC-15340,Jasper Cacioppo,28/01/14,CA-2014-100328,,Chuck Magee,10024,OFF-BI-10000343,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",0,East,East,,3084,Consumer,03/02/14,Standard Class,New York,Binders,0.2,1,6,1.3257,1.3257,1,0.3375,3.928,3.928
Office Supplies,Detroit,United States,MV-18190,Mike Vittorini,30/01/14,CA-2014-134103,,Kelly Williams,48234,OFF-PA-10001204,Xerox 1972,2,Central,Central,,6388,Consumer,04/02/14,Standard Class,Michigan,Paper,0,1,5,4.752,4.752,2,0.45,10.56,10.56
Office Supplies,Detroit,United States,MV-18190,Mike Vittorini,30/01/14,CA-2014-134103,,Kelly Williams,48234,OFF-ST-10000991,Space Solutions HD Industrial Steel Shelving.,2,Central,Central,,6389,Consumer,04/02/14,Standard Class,Michigan,Storage,0,1,5,6.8982,6.8982,2,0.03,229.94,229.94
Furniture,Mission Viejo,United States,LC-17050,Liz Carlisle,31/01/14,CA-2014-115161,,Anna Andreadi,92691,FUR-BO-10003966,"Sauder Facets Collection Library, Sky Alder Finish",2,West,West,,3366,Consumer,02/02/14,First Class,California,Bookcases,0.15,1,2,3.4196,3.4196,2,0.011764706,290.666,290.666
Technology,Green Bay,United States,BD-11500,Bradley Drucker,01/02/14,CA-2014-140795,,Kelly Williams,54302,TEC-AC-10001432,Enermax Aurora Lite Keyboard,5,Central,Central,,541,Consumer,03/02/14,First Class,Wisconsin,Accessories,0,1,2,206.316,206.316,6,0.44,468.9,468.9
Office Supplies,San Diego,United States,CD-12790,Cynthia Delaney,02/02/14,CA-2014-139857,,Anna Andreadi,92037,OFF-FA-10001843,Staples,4,West,West,,1704,Home Office,06/02/14,Standard Class,California,Fasteners,0,1,4,5.8045,5.8045,5,0.47,12.35,12.35
Office Supplies,Saint Petersburg,United States,EB-13930,Eric Barreto,02/02/14,CA-2014-123400,,Cassandra Brandow,33710,OFF-BI-10000666,Surelock Post Binders,2,South,South,,9138,Consumer,09/02/14,Standard Class,Florida,Binders,0.7,1,7,-12.224,-12.224,2,-0.666666667,18.336,18.336
Technology,Saint Petersburg,United States,EB-13930,Eric Barreto,02/02/14,CA-2014-123400,,Cassandra Brandow,33710,TEC-PH-10002890,AT&T 17929 Lendline Telephone,4,South,South,,9139,Consumer,09/02/14,Standard Class,Florida,Phones,0.2,1,7,13.572,13.572,5,0.075,180.96,180.96
Office Supplies,Seattle,United States,TB-21400,Tom Boeckenhauer,03/02/14,CA-2014-111059,,Anna Andreadi,98105,OFF-BI-10002827,Avery Durable Poly Binders,2,West,West,,1519,Consumer,06/02/14,Second Class,Washington,Binders,0.2,1,3,4.3134,4.3134,3,0.325,13.272,13.272
Office Supplies,Seattle,United States,TB-21400,Tom Boeckenhauer,03/02/14,CA-2014-111059,,Anna Andreadi,98105,OFF-BI-10004593,Ibico Laser Imprintable Binding System Covers,2,West,West,,1518,Consumer,06/02/14,Second Class,Washington,Binders,0.2,1,3,27.248,27.248,2,0.325,83.84,83.84
Office Supplies,Escondido,United States,MH-17440,Mark Haberlin,04/02/14,CA-2014-104808,,Anna Andreadi,92025,OFF-BI-10003676,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",2,West,West,,8585,Corporate,08/02/14,Second Class,California,Binders,0.2,1,4,6.0368,6.0368,2,0.35,17.248,17.248
